,top_skew,total_demo_ratio,tail_demo_ratio,tail_percentile,min_avg_tail_score,maj_avg_tail_score,total_avg_tail_score,score_ratio,tail_err_demo_ratio
0,1,0.3316961936502368,0.3826086956521739,0.01,0.49904698424015687,0.5670747655613653,0.5410467448819463,0.8,0.40217391304347827
1,1,0.3316961936502368,0.3826086956521739,0.01,0.49904698424015687,0.5670747655613653,0.5410467448819463,0.5,0.47368421052631576
2,1,0.3316961936502368,0.3826086956521739,0.01,0.49904698424015687,0.5670747655613653,0.5410467448819463,0.2,0.43478260869565216
3,1,0.3316961936502368,0.3826086956521739,0.01,0.49904698424015687,0.5670747655613653,0.5410467448819463,0.1,0.36363636363636365
4,1,0.3316961936502368,0.3826086956521739,0.01,0.49904698424015687,0.5670747655613653,0.5410467448819463,0.05,0.4
5,2,0.3316961936502368,0.391304347826087,0.01,0.8498507195908496,0.7106701407980398,0.7651321064126176,0.8,0.3804347826086957
6,2,0.3316961936502368,0.391304347826087,0.01,0.8498507195908496,0.7106701407980398,0.7651321064126176,0.5,0.24561403508771928
7,2,0.3316961936502368,0.391304347826087,0.01,0.8498507195908496,0.7106701407980398,0.7651321064126176,0.2,0.30434782608695654
8,2,0.3316961936502368,0.391304347826087,0.01,0.8498507195908496,0.7106701407980398,0.7651321064126176,0.1,0.36363636363636365
9,2,0.3316961936502368,0.391304347826087,0.01,0.8498507195908496,0.7106701407980398,0.7651321064126176,0.05,0.6
10,3,0.3316961936502368,0.3739130434782609,0.01,0.6577845904344781,0.574856381944229,0.6058643207710179,0.8,0.358695652173913
11,3,0.3316961936502368,0.3739130434782609,0.01,0.6577845904344781,0.574856381944229,0.6058643207710179,0.5,0.2631578947368421
12,3,0.3316961936502368,0.3739130434782609,0.01,0.6577845904344781,0.574856381944229,0.6058643207710179,0.2,0.30434782608695654
13,3,0.3316961936502368,0.3739130434782609,0.01,0.6577845904344781,0.574856381944229,0.6058643207710179,0.1,0.36363636363636365
14,3,0.3316961936502368,0.3739130434782609,0.01,0.6577845904344781,0.574856381944229,0.6058643207710179,0.05,0.2
15,4,0.3316961936502368,0.6086956521739131,0.01,0.7357898162982022,0.764936138055432,0.7471948987249443,0.8,0.5760869565217391
16,4,0.3316961936502368,0.6086956521739131,0.01,0.7357898162982022,0.764936138055432,0.7471948987249443,0.5,0.6666666666666666
17,4,0.3316961936502368,0.6086956521739131,0.01,0.7357898162982022,0.764936138055432,0.7471948987249443,0.2,0.6086956521739131
18,4,0.3316961936502368,0.6086956521739131,0.01,0.7357898162982022,0.764936138055432,0.7471948987249443,0.1,0.6363636363636364
19,4,0.3316961936502368,0.6086956521739131,0.01,0.7357898162982022,0.764936138055432,0.7471948987249443,0.05,0.8
20,5,0.3316961936502368,0.22608695652173913,0.01,0.5792170132426272,0.5431427868000318,0.5512986988653144,0.8,0.22826086956521738
21,5,0.3316961936502368,0.22608695652173913,0.01,0.5792170132426272,0.5431427868000318,0.5512986988653144,0.5,0.17543859649122806
22,5,0.3316961936502368,0.22608695652173913,0.01,0.5792170132426272,0.5431427868000318,0.5512986988653144,0.2,0.17391304347826086
23,5,0.3316961936502368,0.22608695652173913,0.01,0.5792170132426272,0.5431427868000318,0.5512986988653144,0.1,0.2727272727272727
24,5,0.3316961936502368,0.22608695652173913,0.01,0.5792170132426272,0.5431427868000318,0.5512986988653144,0.05,0.0
