,top_skew,total_demo_ratio,tail_demo_ratio,tail_percentile,min_avg_tail_score,maj_avg_tail_score,total_avg_tail_score,score_ratio,tail_err_demo_ratio
0,1,0.2589924818799802,0.25289814293753515,0.2,0.6419562606257236,0.6498240742752677,0.6478343188143194,0.8,0.25506471581316825
1,1,0.2589924818799802,0.25289814293753515,0.2,0.6419562606257236,0.6498240742752677,0.6478343188143194,0.5,0.2543899144529491
2,1,0.2589924818799802,0.25289814293753515,0.2,0.6419562606257236,0.6498240742752677,0.6478343188143194,0.2,0.265053460889139
3,1,0.2589924818799802,0.25289814293753515,0.2,0.6419562606257236,0.6498240742752677,0.6478343188143194,0.1,0.2713963963963964
4,1,0.2589924818799802,0.25289814293753515,0.2,0.6419562606257236,0.6498240742752677,0.6478343188143194,0.05,0.29954954954954954
5,2,0.2589924818799802,0.2418683173888576,0.2,0.6472123273453961,0.6494147012863809,0.6488820168070137,0.8,0.24366910523353968
6,2,0.2589924818799802,0.2418683173888576,0.2,0.6472123273453961,0.6494147012863809,0.6488820168070137,0.5,0.24223322827555155
7,2,0.2589924818799802,0.2418683173888576,0.2,0.6472123273453961,0.6494147012863809,0.6488820168070137,0.2,0.24929656724817106
8,2,0.2589924818799802,0.2418683173888576,0.2,0.6472123273453961,0.6494147012863809,0.6488820168070137,0.1,0.2545045045045045
9,2,0.2589924818799802,0.2418683173888576,0.2,0.6472123273453961,0.6494147012863809,0.6488820168070137,0.05,0.2725225225225225
10,3,0.2589924818799802,0.2512099043331458,0.2,0.6350609664262945,0.6450033724891114,0.6425057416132299,0.8,0.2528137310073157
11,3,0.2589924818799802,0.2512099043331458,0.2,0.6350609664262945,0.6450033724891114,0.6425057416132299,0.5,0.25574065736154883
12,3,0.2589924818799802,0.2512099043331458,0.2,0.6350609664262945,0.6450033724891114,0.6425057416132299,0.2,0.26561620709060213
13,3,0.2589924818799802,0.2512099043331458,0.2,0.6350609664262945,0.6450033724891114,0.6425057416132299,0.1,0.268018018018018
14,3,0.2589924818799802,0.2512099043331458,0.2,0.6350609664262945,0.6450033724891114,0.6425057416132299,0.05,0.28153153153153154
15,4,0.2589924818799802,0.242656162070906,0.2,0.6543603179987166,0.658570122800279,0.6575485877240642,0.8,0.2452166572875633
16,4,0.2589924818799802,0.242656162070906,0.2,0.6543603179987166,0.658570122800279,0.6575485877240642,0.5,0.24628545700135074
17,4,0.2589924818799802,0.242656162070906,0.2,0.6543603179987166,0.658570122800279,0.6575485877240642,0.2,0.2470455824423185
18,4,0.2589924818799802,0.242656162070906,0.2,0.6543603179987166,0.658570122800279,0.6575485877240642,0.1,0.24324324324324326
19,4,0.2589924818799802,0.242656162070906,0.2,0.6543603179987166,0.658570122800279,0.6575485877240642,0.05,0.25675675675675674
20,5,0.2589924818799802,0.24983119513841998,0.2,0.6467570595794369,0.6550067942203833,0.6529457531554609,0.8,0.2518289251547552
21,5,0.2589924818799802,0.24983119513841998,0.2,0.6467570595794369,0.6550067942203833,0.6529457531554609,0.5,0.2502813414359667
22,5,0.2589924818799802,0.24983119513841998,0.2,0.6467570595794369,0.6550067942203833,0.6529457531554609,0.2,0.26280247608328644
23,5,0.2589924818799802,0.24983119513841998,0.2,0.6467570595794369,0.6550067942203833,0.6529457531554609,0.1,0.2759009009009009
24,5,0.2589924818799802,0.24983119513841998,0.2,0.6467570595794369,0.6550067942203833,0.6529457531554609,0.05,0.2927927927927928
