,top_skew,total_demo_ratio,tail_demo_ratio,tail_percentile,min_avg_tail_score,maj_avg_tail_score,total_avg_tail_score,score_ratio,tail_err_demo_ratio
0,1,0.33021635496883023,0.8445121951219512,0.01,0.9094499157446909,0.8233457237614354,0.8960617639424163,0.8,0.8473282442748091
1,1,0.33021635496883023,0.8445121951219512,0.01,0.9094499157446909,0.8233457237614354,0.8960617639424163,0.5,0.8353658536585366
2,1,0.33021635496883023,0.8445121951219512,0.01,0.9094499157446909,0.8233457237614354,0.8960617639424163,0.2,0.7538461538461538
3,1,0.33021635496883023,0.8445121951219512,0.01,0.9094499157446909,0.8233457237614354,0.8960617639424163,0.1,0.625
4,1,0.33021635496883023,0.8445121951219512,0.01,0.9094499157446909,0.8233457237614354,0.8960617639424163,0.05,0.75
5,1,0.33021635496883023,0.8445121951219512,0.01,0.9094499157446909,0.8233457237614354,0.8960617639424163,0.01,0.6666666666666666
6,2,0.33021635496883023,0.7835365853658537,0.01,0.8273294759125278,0.7638184029031752,0.8135816521818449,0.8,0.7786259541984732
7,2,0.33021635496883023,0.7835365853658537,0.01,0.8273294759125278,0.7638184029031752,0.8135816521818449,0.5,0.7682926829268293
8,2,0.33021635496883023,0.7835365853658537,0.01,0.8273294759125278,0.7638184029031752,0.8135816521818449,0.2,0.6153846153846154
9,2,0.33021635496883023,0.7835365853658537,0.01,0.8273294759125278,0.7638184029031752,0.8135816521818449,0.1,0.625
10,2,0.33021635496883023,0.7835365853658537,0.01,0.8273294759125278,0.7638184029031752,0.8135816521818449,0.05,0.75
11,2,0.33021635496883023,0.7835365853658537,0.01,0.8273294759125278,0.7638184029031752,0.8135816521818449,0.01,1.0
12,3,0.33021635496883023,0.8536585365853658,0.01,0.9166539066470845,0.8673301682089267,0.9094357985829639,0.8,0.8587786259541985
13,3,0.33021635496883023,0.8536585365853658,0.01,0.9166539066470845,0.8673301682089267,0.9094357985829639,0.5,0.8414634146341463
14,3,0.33021635496883023,0.8536585365853658,0.01,0.9166539066470845,0.8673301682089267,0.9094357985829639,0.2,0.8
15,3,0.33021635496883023,0.8536585365853658,0.01,0.9166539066470845,0.8673301682089267,0.9094357985829639,0.1,0.71875
16,3,0.33021635496883023,0.8536585365853658,0.01,0.9166539066470845,0.8673301682089267,0.9094357985829639,0.05,0.8125
17,3,0.33021635496883023,0.8536585365853658,0.01,0.9166539066470845,0.8673301682089267,0.9094357985829639,0.01,0.6666666666666666
18,4,0.33021635496883023,0.5701219512195121,0.01,0.7550714517749992,0.8137298670764115,0.7802874168893259,0.8,0.5610687022900763
19,4,0.33021635496883023,0.5701219512195121,0.01,0.7550714517749992,0.8137298670764115,0.7802874168893259,0.5,0.5
20,4,0.33021635496883023,0.5701219512195121,0.01,0.7550714517749992,0.8137298670764115,0.7802874168893259,0.2,0.6461538461538462
21,4,0.33021635496883023,0.5701219512195121,0.01,0.7550714517749992,0.8137298670764115,0.7802874168893259,0.1,0.90625
22,4,0.33021635496883023,0.5701219512195121,0.01,0.7550714517749992,0.8137298670764115,0.7802874168893259,0.05,0.9375
23,4,0.33021635496883023,0.5701219512195121,0.01,0.7550714517749992,0.8137298670764115,0.7802874168893259,0.01,1.0
24,5,0.33021635496883023,0.8414634146341463,0.01,0.7151820755575177,0.786654125166225,0.726513010251581,0.8,0.8473282442748091
25,5,0.33021635496883023,0.8414634146341463,0.01,0.7151820755575177,0.786654125166225,0.726513010251581,0.5,0.8353658536585366
26,5,0.33021635496883023,0.8414634146341463,0.01,0.7151820755575177,0.786654125166225,0.726513010251581,0.2,0.9230769230769231
27,5,0.33021635496883023,0.8414634146341463,0.01,0.7151820755575177,0.786654125166225,0.726513010251581,0.1,1.0
28,5,0.33021635496883023,0.8414634146341463,0.01,0.7151820755575177,0.786654125166225,0.726513010251581,0.05,1.0
29,5,0.33021635496883023,0.8414634146341463,0.01,0.7151820755575177,0.786654125166225,0.726513010251581,0.01,1.0
